Id,Category
0,0
1,10
2,4
3,9
4,5
5,3
6,0
7,10
8,0
9,2
10,1
11,0
12,3
13,4
14,0
15,4
16,9
17,1
18,0
19,9
20,10
21,0
22,3
23,3
24,1
25,3
26,10
27,4
28,6
29,0
30,0
31,0
32,10
33,4
34,2
35,2
36,0
37,2
38,10
39,0
40,6
41,2
42,2
43,0
44,4
45,1
46,10
47,0
48,10
49,9
50,10
51,1
52,3
53,3
54,4
55,8
56,10
57,9
58,6
59,0
60,0
61,4
62,2
63,3
64,10
65,3
66,2
67,9
68,2
69,10
70,5
71,6
72,5
73,0
74,0
75,10
76,4
77,0
78,2
79,9
80,0
81,0
82,9
83,0
84,6
85,10
86,4
87,4
88,8
89,6
90,0
91,10
92,0
93,9
94,10
95,6
96,3
97,2
98,6
99,10
100,0
101,2
102,10
103,0
104,4
105,7
106,6
107,5
108,9
109,2
110,5
111,0
112,4
113,3
114,9
115,4
116,6
117,6
118,9
119,3
120,0
121,6
122,0
123,0
124,3
125,0
126,6
127,8
128,10
129,9
130,5
131,2
132,2
133,3
134,9
135,3
136,3
137,0
138,3
139,9
140,0
141,4
142,5
143,10
144,0
145,10
146,9
147,5
148,2
149,0
150,2
151,4
152,0
153,0
154,4
155,1
156,1
157,2
158,8
159,2
160,0
161,0
162,5
163,5
164,9
165,10
166,0
167,2
168,3
169,9
170,10
171,1
172,4
173,4
174,0
175,2
176,2
177,10
178,8
179,10
180,4
181,8
182,9
183,6
184,6
185,9
186,4
187,0
188,0
189,10
190,1
191,3
192,3
193,0
194,7
195,4
196,8
197,9
198,4
199,0
200,0
201,3
202,10
203,7
204,4
205,0
206,7
207,9
208,10
209,0
210,8
211,0
212,10
213,2
214,1
215,2
216,0
217,0
218,0
219,0
220,5
221,0
222,0
223,6
224,0
225,5
226,3
227,2
228,6
229,2
230,4
231,9
232,6
233,0
234,4
235,2
236,0
237,10
238,4
239,6
240,0
241,3
242,1
243,4
244,6
245,5
246,3
247,9
248,10
249,9
250,9
251,3
252,2
253,0
254,0
255,2
256,7
257,9
258,4
259,0
260,0
261,2
262,10
263,10
264,4
265,9
266,1
267,3
268,3
269,9
270,4
271,0
272,10
273,0
274,2
275,4
276,9
277,10
278,2
279,9
280,0
281,0
282,2
283,3
284,6
285,0
286,2
287,4
288,3
289,10
290,9
291,4
292,2
293,10
294,10
295,0
296,7
297,0
298,2
299,0
300,2
301,2
302,4
303,1
304,10
305,10
306,4
307,0
308,9
309,3
310,1
311,3
312,2
313,8
314,9
315,3
316,7
317,3
318,10
319,2
320,3
321,0
322,0
323,0
324,4
325,0
326,5
327,6
328,0
329,4
330,0
331,7
332,6
333,9
334,1
335,3
336,3
337,2
338,4
339,10
340,9
341,6
342,0
343,0
344,0
345,7
346,4
347,6
348,4
349,9
350,10
351,10
352,6
353,0
354,7
355,2
356,3
357,10
358,4
359,2
360,2
361,5
362,2
363,0
364,2
365,5
366,0
367,10
368,2
369,6
370,9
371,0
372,2
373,4
374,7
375,3
376,9
377,9
378,0
379,0
380,10
381,0
382,2
383,9
384,4
385,0
386,9
387,10
388,10
389,0
390,0
391,6
392,10
393,3
394,0
395,2
396,0
397,8
398,0
399,1
400,9
401,2
402,9
403,0
404,10
405,2
406,10
407,4
408,0
409,4
410,9
411,7
412,3
413,9
414,2
415,10
416,0
417,0
418,2
419,0
420,5
421,2
422,3
423,6
424,3
425,0
426,3
427,6
428,9
429,9
430,5
431,0
432,10
433,2
434,3
435,2
436,4
437,10
438,1
439,0
440,0
441,2
442,9
443,2
444,0
445,0
446,3
447,10
448,3
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,4
458,8
459,7
460,10
461,9
462,10
463,4
464,2
465,3
466,6
467,7
468,0
469,0
470,0
471,4
472,8
473,2
474,4
475,0
476,6
477,1
478,2
479,6
480,0
481,4
482,3
483,1
484,10
485,5
486,0
487,9
488,5
489,9
490,0
491,6
492,7
493,2
494,5
495,5
496,0
497,10
498,9
499,10
500,0
501,1
502,0
503,2
504,4
505,6
506,6
507,0
508,10
509,10
510,2
511,6
512,9
513,4
514,8
515,2
516,0
517,9
518,6
519,0
520,0
521,8
522,7
523,1
524,0
525,2
526,4
527,1
528,6
529,0
530,4
531,1
532,4
533,9
534,7
535,10
536,3
537,10
538,8
539,10
540,2
541,2
542,0
543,3
544,9
545,1
546,0
547,5
548,3
549,0
550,2
551,2
552,0
553,10
554,4
555,3
556,1
557,4
558,0
559,2
560,0
561,1
562,10
563,0
564,0
565,0
566,5
567,1
568,5
569,0
570,5
571,0
572,0
573,0
574,5
575,4
576,0
577,3
578,3
579,0
580,0
581,0
582,9
583,9
584,3
585,6
586,10
587,3
588,3
589,5
590,0
591,10
592,4
593,5
594,0
595,0
596,6
597,3
598,4
599,0
600,5
601,10
602,2
603,6
604,4
605,6
606,9
607,4
608,5
609,0
610,5
611,4
612,10
613,10
614,0
615,10
616,1
617,9
618,0
619,9
620,7
621,4
622,4
623,10
624,0
625,0
626,4
627,0
628,1
629,6
630,0
631,0
632,2
633,2
634,0
635,3
636,0
637,1
638,0
639,6
640,10
641,0
642,0
643,1
644,0
645,0
646,7
647,5
648,0
649,0
650,10
651,10
652,0
653,2
654,2
655,8
656,5
657,0
658,0
659,9
660,1
661,6
662,0
663,9
664,9
665,0
666,0
667,5
668,0
669,0
670,7
671,9
672,1
673,10
674,5
675,0
676,3
677,2
678,0
679,2
680,1
681,10
682,0
683,5
684,10
685,0
686,10
687,4
688,7
689,6
690,3
691,9
692,2
693,0
694,10
695,7
696,6
697,3
698,0
699,9
700,0
701,0
702,10
703,0
704,0
705,10
706,10
707,2
708,5
709,0
710,3
711,4
712,6
713,0
714,2
715,2
716,0
717,2
718,8
719,9
720,10
721,6
722,4
723,10
724,9
725,2
726,5
727,3
728,0
729,4
730,1
731,0
732,1
733,2
734,4
735,1
736,3
737,10
738,1
739,7
740,2
741,2
742,0
743,3
744,7
745,2
746,1
747,0
748,6
749,8
750,4
751,1
752,10
753,5
754,3
755,0
756,10
757,0
758,6
759,10
760,0
761,4
762,2
763,0
764,0
765,0
766,0
767,9
768,0
769,10
770,10
771,4
772,0
773,0
774,5
775,1
776,0
777,8
778,0
779,4
780,4
781,2
782,4
783,0
784,0
785,2
786,9
787,0
788,0
789,10
790,2
791,0
792,7
793,9
794,7
795,2
796,9
797,1
798,2
799,2
800,4
801,1
802,4
803,0
804,3
805,10
806,10
807,0
808,10
809,10
810,0
811,9
812,0
813,7
814,0
815,4
816,3
817,2
818,3
819,2
820,10
821,8
822,9
823,6
824,2
825,6
826,0
827,0
828,9
829,0
830,0
831,2
832,0
833,0
834,4
835,6
836,5
837,10
838,2
839,3
840,5
841,4
842,0
843,0
844,3
845,2
846,3
847,10
848,0
849,7
850,0
851,9
852,4
853,3
854,10
855,10
856,2
857,10
858,0
859,5
860,0
861,2
862,6
863,1
864,5
865,0
866,2
867,10
868,8
869,0
870,2
871,0
872,5
873,6
874,9
875,3
876,10
877,3
878,5
879,10
880,5
881,0
882,9
883,0
884,4
885,0
886,0
887,4
888,10
889,10
890,6
891,3
892,5
893,4
894,6
895,0
896,2
897,0
898,4
899,2
900,6
901,10
902,6
903,2
904,0
905,2
906,7
907,5
908,9
909,0
910,0
911,10
912,9
913,2
914,0
915,3
916,0
917,1
918,9
919,6
920,0
921,0
922,8
923,9
924,0
925,6
926,9
927,0
928,4
929,0
930,9
931,0
932,9
933,4
934,0
935,5
936,8
937,2
938,8
939,0
940,9
941,6
942,3
943,10
944,2
945,2
946,3
947,3
948,10
949,0
950,0
951,1
952,9
953,9
954,1
955,2
956,6
957,7
958,10
959,5
960,1
961,1
962,10
963,0
964,0
965,0
966,9
967,5
968,2
969,4
970,10
971,0
972,4
973,5
974,3
975,5
976,7
977,5
978,0
979,2
980,3
981,6
982,3
983,2
984,7
985,2
986,0
987,2
988,10
989,0
990,0
991,7
992,0
993,7
994,8
995,10
996,0
997,5
998,9
999,4
1000,9
1001,5
1002,10
1003,7
1004,1
1005,6
1006,0
1007,1
1008,0
1009,4
1010,5
1011,0
1012,6
1013,0
1014,3
1015,10
1016,4
1017,5
1018,0
1019,9
1020,2
1021,9
1022,5
1023,0
1024,9
1025,5
1026,0
1027,1
1028,4
1029,0
1030,10
1031,4
1032,7
1033,0
1034,1
1035,10
1036,10
1037,5
1038,0
1039,8
1040,9
1041,10
1042,2
1043,1
1044,0
1045,9
1046,0
1047,4
1048,4
1049,9
1050,0
1051,0
1052,9
1053,10
1054,0
1055,9
1056,0
1057,2
1058,3
1059,9
1060,10
1061,10
1062,2
1063,5
1064,9
1065,1
1066,0
1067,10
1068,9
1069,4
1070,0
1071,6
1072,3
1073,0
1074,10
1075,0
1076,0
1077,0
1078,2
1079,5
1080,0
1081,10
1082,6
1083,9
1084,0
1085,0
1086,3
1087,5
1088,0
1089,2
1090,0
1091,0
1092,1
1093,0
1094,0
1095,0
1096,10
1097,8
1098,4
1099,6
1100,7
1101,9
1102,5
1103,4
1104,6
1105,0
1106,9
1107,10
1108,0
1109,9
1110,8
1111,9
1112,5
1113,9
1114,0
1115,3
1116,9
1117,5
1118,2
1119,0
1120,0
1121,9
1122,2
1123,4
1124,2
1125,9
1126,6
1127,3
1128,8
1129,4
1130,0
1131,4
1132,0
1133,0
1134,10
1135,8
1136,0
1137,0
1138,0
1139,0
1140,3
1141,0
1142,0
1143,5
1144,0
1145,10
1146,0
1147,10
1148,2
1149,10
1150,0
1151,10
1152,0
1153,0
1154,0
1155,0
1156,5
1157,5
1158,2
1159,0
1160,9
1161,10
1162,1
1163,9
1164,0
1165,5
1166,3
1167,6
1168,0
1169,5
1170,4
1171,2
1172,7
1173,2
1174,0
1175,0
1176,4
1177,1
1178,0
1179,4
1180,1
1181,6
1182,0
1183,0
1184,1
1185,2
1186,6
1187,3
1188,10
1189,9
1190,7
1191,10
1192,2
1193,6
1194,10
1195,3
1196,9
1197,0
1198,10
1199,3
1200,2
1201,10
1202,0
1203,0
1204,8
1205,0
1206,8
1207,9
1208,0
1209,3
1210,9
1211,10
1212,5
1213,10
1214,2
1215,0
1216,0
1217,10
1218,0
1219,9
1220,10
1221,5
1222,4
1223,1
1224,10
1225,6
1226,0
1227,6
1228,1
1229,9
1230,4
1231,0
1232,4
1233,0
1234,10
1235,8
1236,4
1237,0
1238,4
1239,9
1240,2
1241,4
1242,10
1243,9
1244,2
1245,0
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,0
1254,0
1255,10
1256,4
1257,0
1258,0
1259,0
1260,0
1261,3
1262,0
1263,0
1264,4
1265,2
1266,5
1267,10
1268,0
1269,3
1270,2
1271,2
1272,0
1273,0
1274,7
1275,0
1276,4
1277,0
1278,5
1279,2
1280,2
1281,1
1282,9
1283,5
1284,3
1285,0
1286,0
1287,2
1288,10
1289,0
1290,4
1291,8
1292,5
1293,5
1294,8
1295,4
1296,3
1297,4
1298,9
1299,0
1300,9
1301,0
1302,5
1303,4
1304,1
1305,9
1306,5
1307,1
1308,1
1309,0
1310,5
1311,3
1312,0
1313,1
1314,10
1315,3
1316,0
1317,0
1318,5
1319,6
1320,0
1321,6
1322,3
1323,0
1324,4
1325,5
1326,0
1327,4
1328,3
1329,1
1330,10
1331,2
1332,0
1333,0
1334,0
1335,4
1336,0
1337,1
1338,0
1339,1
1340,5
1341,1
1342,4
1343,0
1344,1
1345,7
1346,0
1347,7
1348,2
1349,3
1350,3
1351,0
1352,0
1353,1
1354,4
1355,6
1356,0
1357,6
1358,0
1359,2
1360,7
1361,0
1362,5
1363,10
1364,10
1365,6
1366,6
1367,2
1368,0
1369,9
1370,3
1371,2
1372,5
1373,0
1374,9
1375,4
1376,0
1377,8
1378,0
1379,10
1380,4
1381,3
1382,9
1383,1
1384,5
1385,4
1386,4
1387,8
1388,9
1389,0
1390,2
1391,5
1392,3
1393,5
1394,2
1395,0
1396,0
1397,2
1398,0
1399,0
1400,1
1401,9
1402,9
1403,2
1404,9
1405,4
1406,6
1407,4
1408,0
1409,2
1410,0
1411,4
1412,6
1413,10
1414,2
1415,2
1416,10
1417,4
1418,0
1419,0
1420,10
1421,6
1422,3
1423,3
1424,10
1425,2
1426,0
1427,10
1428,5
1429,1
1430,0
1431,7
1432,8
1433,5
1434,8
1435,6
1436,5
1437,10
1438,5
1439,5
1440,9
1441,2
1442,0
1443,8
1444,0
1445,10
1446,1
1447,10
1448,0
1449,0
1450,10
1451,4
1452,10
1453,0
1454,3
1455,0
1456,9
1457,7
1458,0
1459,0
1460,2
1461,0
1462,2
1463,2
1464,2
1465,5
1466,2
1467,9
1468,2
1469,2
1470,2
1471,9
1472,0
1473,5
1474,0
1475,10
1476,9
1477,4
1478,0
1479,6
1480,0
1481,0
1482,9
1483,0
1484,4
1485,2
1486,4
1487,3
1488,0
1489,6
1490,0
1491,8
1492,0
1493,5
1494,10
1495,9
1496,0
1497,0
1498,4
1499,10
1500,10
1501,6
1502,8
1503,8
1504,0
1505,0
1506,6
1507,0
1508,0
1509,4
1510,0
1511,10
1512,1
1513,3
1514,0
1515,1
1516,10
1517,5
1518,5
1519,10
1520,5
1521,0
1522,6
1523,0
1524,9
1525,5
1526,5
1527,4
1528,4
1529,3
1530,10
1531,2
1532,4
1533,0
1534,6
1535,3
1536,3
1537,5
1538,0
1539,4
1540,9
1541,6
1542,2
1543,6
1544,6
1545,6
1546,9
1547,2
1548,10
1549,10
1550,5
1551,10
1552,6
1553,10
1554,5
1555,0
1556,10
1557,4
1558,6
1559,9
1560,0
1561,2
1562,3
1563,4
1564,7
1565,7
1566,9
1567,3
1568,2
1569,1
1570,2
1571,0
1572,10
1573,2
1574,10
1575,8
1576,7
1577,0
1578,1
1579,7
1580,9
1581,6
1582,0
1583,0
1584,10
1585,4
1586,4
1587,6
1588,2
1589,0
1590,2
1591,10
1592,0
1593,10
1594,10
1595,0
1596,10
1597,7
1598,3
1599,10
1600,0
1601,4
1602,4
1603,9
1604,10
1605,8
1606,0
1607,0
1608,0
1609,2
1610,3
1611,0
1612,9
1613,9
1614,6
1615,0
1616,5
1617,2
1618,3
1619,2
1620,10
1621,3
1622,2
1623,0
1624,2
1625,0
1626,4
1627,2
1628,9
1629,1
1630,0
1631,0
1632,8
1633,2
1634,0
1635,0
1636,6
1637,5
1638,10
1639,1
1640,2
1641,2
1642,5
1643,0
1644,3
1645,2
1646,0
1647,3
1648,3
1649,8
1650,7
1651,4
1652,5
1653,7
1654,9
1655,4
1656,1
1657,8
1658,5
1659,0
1660,0
1661,2
1662,1
1663,4
1664,4
1665,10
1666,10
1667,0
1668,0
1669,4
1670,0
1671,9
1672,7
1673,0
1674,9
1675,4
1676,2
1677,4
1678,5
1679,3
1680,0
1681,6
1682,4
1683,3
1684,8
1685,10
1686,4
1687,3
1688,0
1689,1
1690,2
1691,2
1692,10
1693,0
1694,5
1695,9
1696,0
1697,5
1698,9
1699,0
1700,10
1701,9
1702,10
1703,4
1704,0
1705,0
1706,3
1707,10
1708,4
1709,6
1710,4
1711,10
1712,5
1713,9
1714,0
1715,2
1716,10
1717,5
1718,4
1719,5
1720,0
1721,7
1722,4
1723,0
1724,0
1725,1
1726,3
1727,10
1728,3
1729,3
1730,1
1731,0
1732,0
1733,10
1734,0
1735,6
1736,7
1737,6
1738,0
1739,8
1740,0
1741,0
1742,9
1743,2
1744,4
1745,6
1746,10
1747,2
1748,9
1749,9
1750,0
1751,0
1752,10
1753,0
1754,3
1755,4
1756,3
1757,0
1758,0
1759,1
1760,2
1761,4
1762,2
1763,7
1764,3
1765,9
1766,2
1767,10
1768,4
1769,8
1770,5
1771,5
1772,7
1773,10
1774,3
1775,0
1776,10
1777,9
1778,1
1779,2
1780,1
1781,6
1782,0
1783,9
1784,9
1785,7
1786,10
1787,8
1788,4
1789,0
1790,8
1791,0
1792,0
1793,3
1794,5
1795,9
1796,5
1797,0
1798,5
1799,1
1800,2
1801,2
1802,10
1803,2
1804,6
1805,0
1806,0
1807,5
1808,0
1809,4
1810,0
1811,4
1812,0
1813,9
1814,10
1815,2
1816,5
1817,0
1818,2
1819,6
1820,0
1821,10
1822,9
1823,0
1824,0
1825,3
1826,2
1827,2
1828,0
1829,0
1830,4
1831,2
1832,0
1833,2
1834,6
1835,1
1836,3
1837,9
1838,6
1839,2
1840,4
1841,10
1842,4
1843,0
1844,5
1845,5
1846,7
1847,2
1848,3
1849,0
1850,2
1851,5
1852,4
1853,4
1854,7
1855,3
1856,2
1857,4
1858,1
1859,6
1860,5
1861,2
1862,2
1863,0
1864,8
1865,2
1866,2
1867,2
1868,1
1869,0
1870,1
1871,5
1872,6
1873,10
1874,0
1875,2
1876,9
1877,10
1878,0
1879,6
1880,2
1881,0
1882,5
1883,3
1884,10
1885,3
1886,9
1887,0
1888,10
1889,0
1890,10
1891,9
1892,1
1893,0
1894,8
1895,3
1896,3
1897,0
1898,7
1899,10
1900,0
1901,0
1902,3
1903,6
1904,10
1905,2
1906,0
1907,5
1908,1
1909,0
1910,10
1911,2
1912,3
1913,2
1914,9
1915,9
1916,6
1917,3
1918,8
1919,3
1920,2
1921,2
1922,10
1923,0
1924,10
1925,2
