ID,Answer
0,長劍
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,長盤
5,聶耳
6,1874年
7,西漢的版圖向西擴張
8,巴黎
9,宣傳偽詐
10,周星馳
11,秀吉被稱為天下人，從尾張中村
12,高架設計以配合高架路線
13,anticipation，即預測
14,2007年
15,硫-34
16,休伯特•漢弗萊
17,萬有引力和恆星內部由於壓力梯度產生向外的壓力。壓力梯度是由電漿體的溫差建立的，因為外面的部份溫度會比內部核心的低。主序星或巨星的核心溫度至少有107克耳文
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,數十年
25,蠻族事務局
26,拉丁文
27,路加
28,1964年
29,霍克菲爾德
30,文化大革命
31,小說
32,
33,俗雲萬里石塘
34,約翰·布蘭豪
35,1964年
36,新北市
37,白色
38,沒有
39,南人
40,宋端宗
41,萬尼瓦爾·布希
42,40%
43,1070年
44,社會保障法規
45,第一教學樓
46,1930年
47,卓越的航天技術
48,1932年
49,自大型購物中心[UNK]開幕後
50,康熙帝
51,武漢水利電力大學
52,1960年代
53,亞歷山大一世被刺殺
54,古老
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市教育主管機管為新北市政府教育局
59,愛心聖誕大行動
60,勃艮第公爵
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,李宗仁
67,五代
68,不大
69,弘治十二年
70,亞洲
71,1994年
72,德意志聯邦共和國
73,晶體
74,依納爵
75,一級公路
76,
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,愛爾蘭人
85,律呂精義》
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,複合式裝甲是由數種化學特性極為不同的材料所組成的裝甲；鋼鐵和陶瓷是複合式裝甲中最常見的材料型態。複合式裝甲
93,過高指標
94,武漢水利電力大學
95,蘇利南
96,1934年
97,檸檬酸咖啡因
98,1876年
99,1949年
100,大象
101,1915年
102,1600年
103,異裂。根據類型常可區分為有絲分裂和無絲分裂，在真核生物中以有絲分裂
104,美國
105,芝諾比亞
106,仁祖
107,四衛拉特
108,佛學論書
109,北海道大學
110,下薩克森邦
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,孟加拉
117,世界級指揮家
118,中原
119,荷蘭
120,威廉·洛厄爾·普特南
121,
122,阿拉伯
123,雷家驥
124,
125,未標準化
126,瑞派克路
127,1966年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,福建林家
130,商營鐵路，但由於它是用來運貨
131,民主黨
132,西人黨
133,2013年
134,臺北
135,原住民
136,杭縣
137,蘇聯國旗
138,兩
139,1939年
140,政府資助研究
141,石齋畫報
142,南越地區
143,1988年
144,上吊
145,吉米卡特
146,吳有性
147,《布告各省公啟》
148,阿拉里克
149,十月革命
150,髒層
151,
152,1949年
153,
154,清光緒十七年
155,
156,國共內戰戰況失利
157,阿爾薩斯-洛林
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年初
162,63位
163,阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,
166,角旁
167,孫中山
168,農業
169,[UNK]
170,
171,1999年
172,《天淨沙》
173,二次大戰
174,公元68年
175,南越國
176,幾何學
177,岑智明
178,普法戰爭
179,公元前362年
180,強力政府
181,28歲
182,2000年10月
183,保加利亞
184,三大優點
185,10度
186,自由黨
187,東方集團
188,波士頓
189,1992年
190,網球
191,後箱館裁判所
192,明朝
193,1498年
194,2000年
195,2012年
196,考古
197,克萊門森
198,森林
199,阿森納女子足球俱樂部
200,民主選舉
201,酒樓
202,1920年
203,美元有正式
204,多倫多
205,在軌道上驅動列車
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,數位訊號
210,日本
211,亞歷山大一世
212,威尼斯影展
213,冬季於中國活躍的兩般高壓區之間的真空帶
214,新北市
215,法國雷諾汽車提出收購請求，由於日本政府的強烈反對及雷諾汽車董事會對日產汽車財務赤字的擔憂，最後經過雙方慎重考慮，最終以「聯盟
216,甲午戰爭
217,克孜勒
218,沒有
219,劉源
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,宣宗末年
225,君主
226,多瑙河
227,國立廣東大學
228,美國發明家
229,2006年
230,終於找到爆炸地點
231,中國國務院公布了《人體器官移植條例》
232,1262年
233,鄭芝龍舊部郭懷一
234,三倍
235,耗盡了核心的氫燃料，質量大於0.4太陽質量
236,颱風
237,2016年
238,1968年
239,韓國
240,年輕
241,
242,前衛
243,卑南族
244,黑死病
245,2013年
246,赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,波士頓塞爾提克隊
250,溥[UNK]
251,副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,遊戲
255,1951年
256,
257,1984年
258,
259,下薩克森邦
260,法蘭西第二帝國
261,福建人
262,海布里球場，正式名字為阿森納球場，從1913年至2006年5月為阿森納的主場球場，由著名的建築師阿奇巴爾·雷奇
263,夜間攔截任務
264,哥白尼日心說
265,濃度低
266,袁世凱
267,明朝
268,1848年
269,1954年
270,1998年
271,共同民主黨
272,《南華早報》
273,惡臭
274,佛像
275,阿聯
276,交通基建
277,紅軍
278,田川氏
279,天狼星
280,[UNK]
281,1975-1985年間
282,梵蒂岡
283,機場
284,1237年
285,東羅馬
286,劉裕
287,
288,美國律師協會
289,1654年
290,清末
291,廣開土大王
292,胡安·林茲
293,日本
294,1月1日
295,太陽運動可以提供這顆恆星的年齡和起源的有用資訊，並且還包括周圍的星系結構和演變。一顆恆星運動的成分包括徑向速度是接近或遠離太陽，和橫越天空
296,孟懷玉
297,細胞外的鈣離子
298,8月
299,羅納爾迪尼奧
300,慕容垂
301,火山活動
302,利奧三世
303,
304,要提升飛機的飛行安全
305,丁基羥基甲苯
306,軍事圍剿，以致爆發為期一月的中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,馬德里議定書》
314,粳稻
315,曹魏故都智慧之旅
316,亞德港
317,布爾什維克革命
318,民主黨
319,彌爾
320,視錐細胞
321,1928年
322,期貨交易所
323,十多個
324,300美元
325,張
326,大力發展體育事業
327,元世祖
328,力自行車
329,數學
330,亞熱帶季風氣候
331,月份
332,
333,朱一貴
334,凱爾特部落群
335,發球失誤
336,銃炮
337,1959年
338,1980年代
339,共和黨女性州長行政機構
340,東漢
341,1980年
342,
343,
344,2010年
345,武漢
346,1868年
347,托土拉島
348,德國
349,倫敦奈米技術中心
350,1888年
351,岡底斯山
352,1972年
353,
354,三菱重工業長崎造船廠
355,南斯拉夫人
356,管理不善
357,
358,丹尼索瓦人
359,忽必烈
360,中國
361,2000年
362,拉直
363,波蘭
364,1955年
365,韓國
366,維京戈達島、阿內加達島和約斯特范大克島
367,1956年
368,史都華中校
369,1910年
370,中亞地區
371,沙阿摩訶末時期
372,1958年
373,1928年
374,激進組織
375,巴爾的摩市
376,中華民國政府
377,社團部
378,羅納德
379,電子郵件
380,孔子
381,大連路的地鐵站2號口，即電影《風雲兒女》的拍攝地的上海國歌紀念廣場
382,2005年
383,中國國務院
384,哥白尼
385,60年代
386,雙循環泵
387,1809年
388,一次大戰
389,32年
390,害怕德軍在東線戰線上沒有足夠兵力應付俄國
391,
392,伯克制
393,高速下
394,國家
395,路易·巴斯德
396,中部科學園區
397,宣統三年九月十九日
398,1991年
399,文學
400,第二次工業革命
401,突厥語
402,哈雷阿卡拉國家公園
